mz,intensity
125.02421,9.77284
137.02432,2.76039
161.02416,2.12507
163.00353,2.82772
165.01899,1.61898
175.03967,1.00026
177.019,0.89199
217.0503,1.36822
241.04997,1.62999
243.02961,0.971
245.04551,1.41625
245.08135,1.90393
255.02956,0.93269
257.04538,1.20934
273.03935,1.04174
285.0405,59.40045
287.05592,7.17247
289.07164,45.45721
297.03997,3.48016
301.03455,1.40677
307.06088,1.66608
313.03491,1.54518
327.05047,6.40935
407.07669,17.24313
411.07192,8.86348
423.07204,52.73277
434.06387,1.31032
435.07137,3.78775
447.0722,4.34697
449.08761,50.29259
452.07418,19.79327
465.08174,0.98297
471.10811,1.32574
513.11802,1.79949
531.12884,1.94994
539.09785,22.17816
557.10799,4.21568
575.11948,100
